dataset,image,sigma,seed,method,psnr,ssim,runtime_ms,kernel_size,sigma_filter,patch_size,search_size,h,h_factor,sigma_psd,sigma_factor
set12,01,25,42,NLM,26.49847061852498,0.7443047694806965,157.6703999999154,,,3.0,21.0,15.0,0.6,,
set12,01,25,42,NLM,26.49847061852498,0.7443047694806965,158.80199999992328,,,3.0,21.0,20.0,0.8,,
set12,01,25,42,NLM,26.49847061852498,0.7443047694806965,158.8818000000174,,,3.0,21.0,25.0,1.0,,
set12,01,25,42,NLM,26.49847061852498,0.7443047694806965,159.65309999955934,,,3.0,21.0,30.0,1.2,,
set12,01,25,42,NLM,26.49847061852498,0.7443047694806965,158.51980000115873,,,3.0,21.0,37.5,1.5,,
set12,01,25,42,NLM,26.046477227059434,0.7389184199301414,358.60370000045805,,,3.0,31.0,15.0,0.6,,
set12,01,25,42,NLM,26.046477227059434,0.7389184199301414,367.1876999997039,,,3.0,31.0,20.0,0.8,,
set12,01,25,42,NLM,26.046477227059434,0.7389184199301414,356.98839999895426,,,3.0,31.0,25.0,1.0,,
set12,01,25,42,NLM,26.046477227059434,0.7389184199301414,354.9407999998948,,,3.0,31.0,30.0,1.2,,
set12,01,25,42,NLM,26.046477227059434,0.7389184199301414,356.65610000069137,,,3.0,31.0,37.5,1.5,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.83140000027197,,,5.0,11.0,15.0,0.6,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.18450000027951,,,5.0,11.0,20.0,0.8,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,42.97670000050857,,,5.0,11.0,25.0,1.0,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.25789999893459,,,5.0,11.0,30.0,1.2,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.302699999912875,,,5.0,11.0,37.5,1.5,,
set12,01,25,42,NLM,27.24041584827696,0.7872299368898535,152.18180000010761,,,5.0,21.0,15.0,0.6,,
